pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7np1	I	M	0	B	protein	NA	spike protein s1	VIRAL PROTEIN	11/17/21	Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-360	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hall, G., Cowan, R., Carr, M.	2.8	X-RAY DIFFRACTION	0.281	0.232	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7np1	K	O	0	D	protein	NA	spike protein s1	VIRAL PROTEIN	11/17/21	Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-360	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hall, G., Cowan, R., Carr, M.	2.8	X-RAY DIFFRACTION	0.281	0.232	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7np1	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	11/17/21	Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-360	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hall, G., Cowan, R., Carr, M.	2.8	X-RAY DIFFRACTION	0.281	0.232	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7np1	J	N	0	C	protein	NA	spike protein s1	VIRAL PROTEIN	11/17/21	Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-360	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hall, G., Cowan, R., Carr, M.	2.8	X-RAY DIFFRACTION	0.281	0.232	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7f7e	C	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	02/02/22	SARS-CoV-2 S protein RBD in complex with A5-10 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Dou, Y., Wang, X., Wang, K., Liu, P., Lu, B.	2.49	X-RAY DIFFRACTION	0.256	0.214	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6pxh	C	D	0	A	protein	NA	mers-cov s1-ntd	IMMUNE SYSTEM/Viral protein	07/26/19	Crystal Structure of MERS-CoV S1-NTD bound with G2 Fab	MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; MUS MUSCULUS	mus musculus	mus musculus	middle east respiratory syndrome-relatedcoronavirus 	Wang, N., McLellan, J.S.	2.3	X-RAY DIFFRACTION	0.213	0.180	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6pxh	H	L	0	B	protein	NA	mers-cov s1-ntd	IMMUNE SYSTEM/Viral protein	07/26/19	Crystal Structure of MERS-CoV S1-NTD bound with G2 Fab	MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS; MUS MUSCULUS	mus musculus	mus musculus	middle east respiratory syndrome-relatedcoronavirus 	Wang, N., McLellan, J.S.	2.3	X-RAY DIFFRACTION	0.213	0.180	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7q9k	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	12/15/21	Beta-32 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7q9k	D	E	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	12/15/21	Beta-32 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7q9j	E	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	12/15/21	Beta-26 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
7q9j	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	12/15/21	Beta-26 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
7q9j	J	K	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	12/15/21	Beta-26 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
7q9i	E	F	0	B	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-43 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
7q9i	H	L	0	A	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-43 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
7q9i	J	K	0	C	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-43 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	4.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
7q9m	E	F	0	B	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-53 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
7q9m	H	L	0	C	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-53 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
7q9m	J	K	0	A	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-53 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
7q9g	H	L	0	A	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	COVOX-222 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7q9g	E	F	0	B	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	COVOX-222 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7q9f	J	K	0	C	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-50 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7q9f	E	F	0	B	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-50 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7q9f	H	L	0	A	protein	NA	surface glycoprotein	Viral Protein/Immune System	12/15/21	Beta-50 fab in complex with SARS-CoV-2 beta-Spike glycoprotein	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I.	3.6	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7cdj	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	06/19/20	Crystal structure of SARS-CoV-2 antibody P2C-1A3 with RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Zhang, L., Ge, J., Wang, R.	3.396	X-RAY DIFFRACTION	0.271	0.231	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7cdi	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	06/19/20	Crystal structure of SARS-CoV-2 antibody P2C-1F11 with RBD	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Zhang, L., Ge, J., Wang, R.	2.96	X-RAY DIFFRACTION	0.254	0.202	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7d4g	N	G	0	B	protein	NA	spike glycoprotein s1	VIRAL PROTEIN	04/07/21	A proof of concept for neutralizing antibody-guided vaccine design against SARS-CoV-2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Cao, L., Wang, X.	3.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7bnv	H	L	0	A	protein	NA	surface glycoprotein	VIRAL PROTEIN	11/17/21	Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-300	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hall, G., Cowan, R., Carr, M.	2.35	X-RAY DIFFRACTION	0.265	0.224	False	True	IGHV5	IGKV3	Kappa	None	None	None	None	None
7ezv	M	N	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/08/21	local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-812 Fab and BD-836 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, P.L.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7ezv	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	09/08/21	local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-812 Fab and BD-836 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, P.L.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
7mzf	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 37	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Chan, L.J., Dietrich, M.H., Tan, L.L., Tham, W.H.	2.493	X-RAY DIFFRACTION	0.227	0.185	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mzg	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 42	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Chan, L.J., Dietrich, M.H., Tan, L.L., Tham, W.H.	2.0	X-RAY DIFFRACTION	0.236	0.200	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mzj	F	E	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.4	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7mzj	C	D	0	B	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.4	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7mzj	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.4	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mzj	N	M	0	B	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.4	X-RAY DIFFRACTION	0.268	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mzk	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.25	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
7mzk	F	E	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.25	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7mzk	C	D	0	B	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.25	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7mzk	N	M	0	B	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.25	X-RAY DIFFRACTION	0.235	0.197	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
7mzh	B	C	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 119	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	2.1	X-RAY DIFFRACTION	0.265	0.220	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7mzh	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 119	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	2.1	X-RAY DIFFRACTION	0.265	0.220	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
7mzi	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab WCSL 129	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	1.85	X-RAY DIFFRACTION	0.208	0.174	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7mzn	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 231	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Tan, L.L., Dietrich, M.H., Chan, L.J., Tham, W.H.	3.1	X-RAY DIFFRACTION	0.259	0.223	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7mzl	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 210	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Chan, L.J., Dietrich, M.H., Tan, L.L., Tham, W.H.	3.7	X-RAY DIFFRACTION	0.256	0.222	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7mzm	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN	10/06/21	SARS-CoV-2 receptor binding domain bound to Fab PDI 215	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pymm, P., Dietrich, M.H., Tan, L.L., Chan, L.J., Tham, W.H.	2.3	X-RAY DIFFRACTION	0.257	0.216	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7wed	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/13/22	SARS-CoV-2 Omicron variant spike RBD in complex with Fab XGv347	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Wang, L.	3.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6ym0	H	L	0	E	protein	NA	rbd	VIRAL PROTEIN	04/07/20	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab (crystal form 1)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Huo, J., Zhao, Y., Ren, J., Zhou, D., Ginn, H.M., Fry, E.E., Owens, R., Stuart, D.I.	4.36	X-RAY DIFFRACTION	0.319	0.323	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7cjf	A	B	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	07/10/20	Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Guo, Y., Li, X., Zhang, G., Fu, D., Schweizer, L., Zhang, H., Rao, Z.	2.108	X-RAY DIFFRACTION	0.229	0.185	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tbf	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Locally refined region of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7tbf	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Locally refined region of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tb8	J	K	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Cryo-EM structure of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tb8	D	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Cryo-EM structure of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tb8	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Cryo-EM structure of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7tb8	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	03/30/22	Cryo-EM structure of SARS-CoV-2 spike in complex with antibodies B1-182.1 and A19-61.1	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, T., Tsybovsky, T., Kwong, P.D.	2.83	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
